keyword,date,video_mentions,top_channels
beksul,2025-08-28,0,
beksul,2025-08-29,0,
beksul,2025-08-30,0,
beksul,2025-08-31,0,
beksul,2025-09-01,0,
beksul,2025-09-02,0,
beksul,2025-09-03,0,
bibigo,2025-08-28,6,Nicole Hoang;No Menu Cooking;ProHyperSpace02
bibigo,2025-08-29,4,BapTable;Thy’s Cozy Corner;CookieMoments 쿠키모먼츠 
bibigo,2025-08-30,2,Sale Going On Now;bazachi. com
bibigo,2025-08-31,1,Eva 娃娃
bibigo,2025-09-01,4,조율킹;Tela Tv;Rayan Beauty Secret
bibigo,2025-09-02,4,BapTable;Piggy & DIY;Cherry Lady Style
bibigo,2025-09-03,0,
binggrae,2025-08-28,3,Strahd Creative
binggrae,2025-08-29,1,Strahd Creative
binggrae,2025-08-30,1,3C Huang
binggrae,2025-08-31,3,Fun with Eva / Food & Travel;_mlsvh;fitness home workout 
binggrae,2025-09-01,2,НЕ КСЮХА И НЕ ОКСАНА;Viwantstoknow
binggrae,2025-09-02,0,
binggrae,2025-09-03,0,
bristol farms,2025-08-28,0,
bristol farms,2025-08-29,0,
bristol farms,2025-08-30,0,
bristol farms,2025-08-31,0,
bristol farms,2025-09-01,1,Mrs. Coloma-Flores
bristol farms,2025-09-02,0,
bristol farms,2025-09-03,0,
buldak,2025-08-28,98,aimschia;KULU Eats;Moja Tasty ASMR
buldak,2025-08-29,92,nehir𐙚;Bubble🧋;irene kim 김예린
buldak,2025-08-30,70,DumDum;Anne farah قناة فرح;Radz Kitchen ASMR
buldak,2025-08-31,51,Radz Kitchen ASMR;Bubble Maan;Keluarga Bapak Suhandi
buldak,2025-09-01,72,Radz Kitchen ASMR;Aso’s Moments;푸드타임 Foodtime
buldak,2025-09-02,32,Tina's Yummy Eats;Chase Magnano;Omakase Club
buldak,2025-09-03,0,
chamisul,2025-08-28,0,
chamisul,2025-08-29,1,수이트 Suite 
chamisul,2025-08-30,0,
chamisul,2025-08-31,0,
chamisul,2025-09-01,1,Blueming05
chamisul,2025-09-02,0,
chamisul,2025-09-03,0,
chapagetti,2025-08-28,2,Cixi;주안상 Liquor Table (Bites & Booze)
chapagetti,2025-08-29,2,Chris Tran;인덕원아재
chapagetti,2025-08-30,3,TEEBeats;the Polaris of the Desert;은지힝
chapagetti,2025-08-31,3,AnnuSujan🖤;Life In Korea;Dot man’s child
chapagetti,2025-09-01,2,คุ้มค่าทุกการใช้จ่ายผ่านร้านค้าออนไลน์;맛즐 ; JOYFUL FOOD
chapagetti,2025-09-02,2,우리들만의리그;Radhika Mathur
chapagetti,2025-09-03,0,
chilsung,2025-08-28,0,
chilsung,2025-08-29,0,
chilsung,2025-08-30,0,
chilsung,2025-08-31,0,
chilsung,2025-09-01,0,
chilsung,2025-09-02,0,
chilsung,2025-09-03,0,
chum churum,2025-08-28,0,
chum churum,2025-08-29,0,
chum churum,2025-08-30,0,
chum churum,2025-08-31,0,
chum churum,2025-09-01,0,
chum churum,2025-09-02,0,
chum churum,2025-09-03,0,
chung jung one,2025-08-28,0,
chung jung one,2025-08-29,0,
chung jung one,2025-08-30,0,
chung jung one,2025-08-31,0,
chung jung one,2025-09-01,0,
chung jung one,2025-09-02,0,
chung jung one,2025-09-03,0,
daesang,2025-08-28,8,Youngatiny_4atz;@rzh.t;ハニ<3
daesang,2025-08-29,0,
daesang,2025-08-30,2,S-DRAGON;Noodle&Cat
daesang,2025-08-31,0,
daesang,2025-09-01,3,S-DRAGON;Cantik Shalzabillah;michellato
daesang,2025-09-02,1,S-DRAGON
daesang,2025-09-03,0,
dongwon tuna,2025-08-28,0,
dongwon tuna,2025-08-29,0,
dongwon tuna,2025-08-30,0,
dongwon tuna,2025-08-31,1,동원F&B(Dongwon)
dongwon tuna,2025-09-01,0,
dongwon tuna,2025-09-02,1,Global Pulse
dongwon tuna,2025-09-03,0,
emart,2025-08-28,6,BAKERS KOREA;Nhà đẹp Nguyễn Cường - Bán nhà Gò Vấp - Tp HCM;TM TIME GOD FF
emart,2025-08-29,8,OpiniónFlash;Brijesh Meena;Mới Gò Vấp Nhà
emart,2025-08-30,11,An Khánh;Erin Davidson;Hùng Pro
emart,2025-08-31,7,Erin Davidson;emre ak;Rishu Sharma
emart,2025-09-01,10,따라잡아경제;Md Galib;Jeniffer Pilo
emart,2025-09-02,10,La Cocina Mesa Verde;Saeb Ahmed Shakil;LeMon Xiu
emart,2025-09-03,0,
haitai ice,2025-08-28,0,
haitai ice,2025-08-29,0,
haitai ice,2025-08-30,0,
haitai ice,2025-08-31,0,
haitai ice,2025-09-01,0,
haitai ice,2025-09-02,0,
haitai ice,2025-09-03,0,
